index,cellid,ADA预测值,ADA预测概率,GBDT预测值,GBDT预测概率,RF预测值,RF预测概率,XGB预测值,XGB预测概率,平均预测概率
62,板21-7$2655.1,1,0.99997751920656,1,0.759534538828028,1,0.5793759084053205,1,0.7310274,0.767478847693847
119,板21-7$2368.6,1,0.9999257586300261,1,0.759534538828028,1,0.5762410089910092,1,0.7310274,0.7666821826961357
2,板南4-9$2491.6,1,0.9999257586300261,1,0.759534538828028,1,0.5753022810522812,1,0.7310274,0.7664475007114537
87,板南3-4$2586.4,1,0.9999989089075471,1,0.8053908066046694,1,0.5282213619713623,1,0.7310274,0.7661596254547647
33,板21-8$2471.5,1,0.9999257586300261,1,0.759534538828028,1,0.5739471361971364,1,0.7310274,0.7661087144976675
118,千16-24$2624.9,1,0.99997751920656,1,0.7653174606809857,1,0.5647766400266402,1,0.7310274,0.7652747610624164
6,千16-24$3014.1,1,0.9999997625689228,1,0.7688052418517942,1,0.5598489010989013,1,0.7310274,0.7649203324637746
17,板南3-13$2395.7,1,0.9999963965600988,1,0.7688052418517942,1,0.5204501674795794,1,0.76237965,0.7629078630481855
60,板南3-13$2390.4,1,0.9999838435163672,1,0.7559512967763001,1,0.5597613220113223,1,0.7310274,0.7616809716598674
19,板南3-13$2344.6,1,0.9999838435163672,1,0.7559512967763001,1,0.5519043799337918,1,0.7310274,0.7597167361404847
20,千16-24$3238.1,1,0.9999963965600988,1,0.7688052418517942,1,0.5382290552584672,1,0.7310274,0.75951452950146
73,板21-7$2364.5,1,0.99997751920656,1,0.7688052418517942,1,0.537530254059666,1,0.7310274,0.7593351098633749
117,板21-7$2651.8,1,0.9999838435163672,1,0.7559512967763001,1,0.5470840336134457,1,0.7310274,0.7585116495603982
3,板南3-13$2354.2,1,0.9999963965600988,1,0.7653174606809857,1,0.5351431068931071,1,0.7310274,0.7578710971174178
101,板南4-4$2350.7,1,0.99997751920656,1,0.7688052418517942,1,0.5316211631505752,1,0.7310274,0.7578578371361022
5,千16-24$2931.3,1,0.9999963965600988,1,0.759534538828028,1,0.5061109723609727,1,0.7310274,0.7491673330211448
7,板21-12$2465.1,1,0.9999999176076969,1,0.7559512967763001,1,0.5084172004466124,1,0.7310274,0.7488489597915223
18,板南3-13$2524.3,1,0.9999257586300261,1,0.7559512967763001,1,0.501968648998061,1,0.7310274,0.7472182821849667
61,板21-8$1775.4,1,0.9999321894682062,0,0.3805664287142295,1,0.558083166833167,0,0.38582668,0.581102115524893
64,板21-8$2276.2,1,0.9818323539619425,0,0.3805664287142295,1,0.557497620027032,0,0.38582668,0.5764307699467933
110,板南3-4$1853.1,1,0.9936198543339113,0,0.3805664287142295,1,0.5379160006660009,0,0.38582668,0.5744822401995278
78,板南G3-3$1114.9,1,0.9936198543339113,0,0.3805664287142295,1,0.5367533300033301,0,0.38582668,0.57419157253386
69,板21-8$2132.8,1,0.9999321894682062,0,0.3805664287142295,1,0.5286298211592332,0,0.38582668,0.5737387791064095
58,板南3-13$1861.6,1,0.9986046615462594,0,0.3805664287142295,1,0.5445501998002,0,0.34732515,0.5677616090647404
94,板南3-13$1714.0,1,0.9818323539619425,0,0.36398423613939423,1,0.5645377122877124,0,0.34732515,0.5644198621468305
14,板南3-4$1987.9,1,0.9936198543339113,0,0.3759756737864604,0,0.49429282482223674,0,0.38582668,0.5624287575066445
83,板南G3-3$1734.7,1,0.9996884586921979,0,0.3805664287142295,1,0.5129631202131205,0,0.34732515,0.5601357884544551
93,板21-7$2324.6,1,0.9216312578999704,0,0.36398423613939423,1,0.5804992507492509,0,0.34732515,0.553359972746722
75,板南G3-3$1678.9,1,0.9986046615462594,0,0.3192219702085776,1,0.5023157675657677,0,0.38582668,0.5514922691011435
70,板南3-4$1948.5,1,0.9996884586921979,0,0.3192219702085776,0,0.49680081683022875,0,0.38582668,0.5503844807037434
82,板南3-13$1557.4,1,0.9424086315056412,0,0.36398423613939423,1,0.5437651515151518,0,0.34732515,0.5493707913396151
55,板南3-4$1629.4,1,0.9424086315056412,0,0.3759756737864604,1,0.5258009490509492,0,0.34732515,0.5478776001353309
52,板南3-4$1857.3,1,0.9996884586921979,0,0.3685150394660864,0,0.4756083083583086,0,0.34732515,0.5477842381787164
84,板21-8$2130.2,1,0.9216312578999704,0,0.3805664287142295,1,0.5402791718085838,0,0.34732515,0.5474505011552641
88,板南G3-3$1198.0,1,0.9216312578999704,0,0.36398423613939423,1,0.5320347152847157,0,0.34732515,0.5412438388805882
