index,cellid,ADA预测值,ADA预测概率
97,板南G3-3$1338.6,0,0.14735543316194102
96,板南G3-3$1245.5,0,0.14735543316194102
100,板南3-1K$1938.5,0,0.14735543316194102
11,板南3-4$1920.6,0,0.14735543316194102
10,板南3-4$1235.3,0,0.14735543316194102
103,板21-8$1915.5,0,0.14735543316194102
1,板南3-13$1923.0,0,0.14735543316194102
105,板南4-5$2263.4,0,0.14735543316194102
9,板南3-1K$1606.6,0,0.14735543316194102
28,板南3-4$1078.5,0,0.14735543316194102
44,板南G3-3$1373.5,0,0.14735543316194102
108,板21-7$2259.1,0,0.14735543316194102
110,板南3-4$1853.1,0,0.14735543316194102
111,板21-7$2331.6,0,0.14735543316194102
40,板21-7$2020.4,0,0.14735543316194102
38,板21-12$2148.2,0,0.14735543316194102
37,板21-12$1985.3,0,0.14735543316194102
4,板南3-13$1901.4,0,0.14735543316194102
35,板南3-1K$1965.4,0,0.14735543316194102
12,板南3-4$2059.8,0,0.14735543316194102
25,板南3-4$1924.8,0,0.14735543316194102
45,板21-12$1800.7,0,0.14735543316194102
75,板南G3-3$1678.9,0,0.14735543316194102
21,板南G3-3$1966.2,0,0.14735543316194102
58,板南3-13$1861.6,0,0.14735543316194102
65,板南3-4$951.0,0,0.14735543316194102
66,板南3-4$1017.4,0,0.14735543316194102
57,板南G3-3$1404.6,0,0.14735543316194102
68,板南3-4$2312.8,0,0.14735543316194102
69,板21-8$2132.8,0,0.14735543316194102
70,板南3-4$1948.5,0,0.14735543316194102
71,板21-7$1714.5,0,0.14735543316194102
72,板21-8$1783.0,0,0.14735543316194102
55,板南3-4$1629.4,0,0.14735543316194102
77,板21-8$2287.7,0,0.14735543316194102
92,板南3-4$2268.6,0,0.14735543316194102
78,板南G3-3$1114.9,0,0.14735543316194102
52,板南3-4$1857.3,0,0.14735543316194102
80,板21-8$2295.6,0,0.14735543316194102
51,板南3-13$2315.9,0,0.14735543316194102
23,板南3-13$1905.2,0,0.14735543316194102
83,板南G3-3$1734.7,0,0.14735543316194102
84,板21-8$2130.2,0,0.14735543316194102
85,板南3-13$1857.6,0,0.14735543316194102
49,板南3-13$1960.0,0,0.14735543316194102
88,板南G3-3$1198.0,0,0.14735543316194102
91,板南3-4$1893.9,0,0.14735543316194102
31,板南4-4$2334.1,0,0.14735543316194102
